region;ålder;kön;år;Folkmängd
0114 Upplands Väsby;55-59 år;män;2008;1133
0114 Upplands Väsby;55-59 år;män;2009;1121
0114 Upplands Väsby;55-59 år;män;2010;1063
0114 Upplands Väsby;55-59 år;män;2011;1064
0114 Upplands Väsby;55-59 år;män;2012;1083
0114 Upplands Väsby;55-59 år;män;2013;1089
0114 Upplands Väsby;55-59 år;män;2014;1098
0114 Upplands Väsby;55-59 år;män;2015;1099
0114 Upplands Väsby;55-59 år;män;2016;1174
0114 Upplands Väsby;55-59 år;män;2017;1212
0114 Upplands Väsby;55-59 år;män;2018;1296
0114 Upplands Väsby;60-64 år;män;2008;1288
0114 Upplands Väsby;60-64 år;män;2009;1244
0114 Upplands Väsby;60-64 år;män;2010;1233
0114 Upplands Väsby;60-64 år;män;2011;1190
0114 Upplands Väsby;60-64 år;män;2012;1110
0114 Upplands Väsby;60-64 år;män;2013;1065
0114 Upplands Väsby;60-64 år;män;2014;1040
0114 Upplands Väsby;60-64 år;män;2015;999
0114 Upplands Väsby;60-64 år;män;2016;1008
0114 Upplands Väsby;60-64 år;män;2017;1042
0114 Upplands Väsby;60-64 år;män;2018;1031
0114 Upplands Väsby;65-69 år;män;2008;961
0114 Upplands Väsby;65-69 år;män;2009;1029
0114 Upplands Väsby;65-69 år;män;2010;1058
0114 Upplands Väsby;65-69 år;män;2011;1118
0114 Upplands Väsby;65-69 år;män;2012;1169
0114 Upplands Väsby;65-69 år;män;2013;1147
0114 Upplands Väsby;65-69 år;män;2014;1124
0114 Upplands Väsby;65-69 år;män;2015;1086
0114 Upplands Väsby;65-69 år;män;2016;1056
0114 Upplands Väsby;65-69 år;män;2017;989
0114 Upplands Väsby;65-69 år;män;2018;962
0114 Upplands Väsby;70-74 år;män;2008;614
0114 Upplands Väsby;70-74 år;män;2009;676
0114 Upplands Väsby;70-74 år;män;2010;739
0114 Upplands Väsby;70-74 år;män;2011;744
0114 Upplands Väsby;70-74 år;män;2012;794
0114 Upplands Väsby;70-74 år;män;2013;859
0114 Upplands Väsby;70-74 år;män;2014;905
0114 Upplands Väsby;70-74 år;män;2015;938
0114 Upplands Väsby;70-74 år;män;2016;987
0114 Upplands Väsby;70-74 år;män;2017;1037
0114 Upplands Väsby;70-74 år;män;2018;1021
0114 Upplands Väsby;75-79 år;män;2008;399
0114 Upplands Väsby;75-79 år;män;2009;406
0114 Upplands Väsby;75-79 år;män;2010;445
0114 Upplands Väsby;75-79 år;män;2011;493
0114 Upplands Väsby;75-79 år;män;2012;495
0114 Upplands Väsby;75-79 år;män;2013;536
0114 Upplands Väsby;75-79 år;män;2014;573
0114 Upplands Väsby;75-79 år;män;2015;627
0114 Upplands Väsby;75-79 år;män;2016;641
0114 Upplands Väsby;75-79 år;män;2017;685
0114 Upplands Väsby;75-79 år;män;2018;738
0114 Upplands Väsby;80-84 år;män;2008;229
0114 Upplands Väsby;80-84 år;män;2009;252
0114 Upplands Väsby;80-84 år;män;2010;262
0114 Upplands Väsby;80-84 år;män;2011;263
0114 Upplands Väsby;80-84 år;män;2012;292
0114 Upplands Väsby;80-84 år;män;2013;309
0114 Upplands Väsby;80-84 år;män;2014;311
0114 Upplands Väsby;80-84 år;män;2015;338
0114 Upplands Väsby;80-84 år;män;2016;382
0114 Upplands Väsby;80-84 år;män;2017;388
0114 Upplands Väsby;80-84 år;män;2018;415
0114 Upplands Väsby;85-89 år;män;2008;171
0114 Upplands Väsby;85-89 år;män;2009;166
0114 Upplands Väsby;85-89 år;män;2010;165
0114 Upplands Väsby;85-89 år;män;2011;175
0114 Upplands Väsby;85-89 år;män;2012;159
0114 Upplands Väsby;85-89 år;män;2013;145
0114 Upplands Väsby;85-89 år;män;2014;161
0114 Upplands Väsby;85-89 år;män;2015;168
0114 Upplands Väsby;85-89 år;män;2016;165
0114 Upplands Väsby;85-89 år;män;2017;189
0114 Upplands Väsby;85-89 år;män;2018;198
0114 Upplands Väsby;90-94 år;män;2008;39
0114 Upplands Väsby;90-94 år;män;2009;55
0114 Upplands Väsby;90-94 år;män;2010;59
0114 Upplands Väsby;90-94 år;män;2011;64
0114 Upplands Väsby;90-94 år;män;2012;67
0114 Upplands Väsby;90-94 år;män;2013;73
0114 Upplands Väsby;90-94 år;män;2014;62
0114 Upplands Väsby;90-94 år;män;2015;53
0114 Upplands Väsby;90-94 år;män;2016;63
0114 Upplands Väsby;90-94 år;män;2017;69
0114 Upplands Väsby;90-94 år;män;2018;62
0114 Upplands Väsby;95-99 år;män;2008;4
0114 Upplands Väsby;95-99 år;män;2009;2
0114 Upplands Väsby;95-99 år;män;2010;8
0114 Upplands Väsby;95-99 år;män;2011;11
0114 Upplands Väsby;95-99 år;män;2012;10
0114 Upplands Väsby;95-99 år;män;2013;10
0114 Upplands Väsby;95-99 år;män;2014;13
0114 Upplands Väsby;95-99 år;män;2015;12
0114 Upplands Väsby;95-99 år;män;2016;13
0114 Upplands Väsby;95-99 år;män;2017;10
0114 Upplands Väsby;95-99 år;män;2018;17
0114 Upplands Väsby;100+ år;män;2008;1
0114 Upplands Väsby;100+ år;män;2009;1
0114 Upplands Väsby;100+ år;män;2010;1
0114 Upplands Väsby;100+ år;män;2011;2
0114 Upplands Väsby;100+ år;män;2012;3
0114 Upplands Väsby;100+ år;män;2013;3
0114 Upplands Väsby;100+ år;män;2014;1
0114 Upplands Väsby;100+ år;män;2015;2
0114 Upplands Väsby;100+ år;män;2016;0
0114 Upplands Väsby;100+ år;män;2017;0
0114 Upplands Väsby;100+ år;män;2018;1
0115 Vallentuna;55-59 år;män;2008;800
0115 Vallentuna;55-59 år;män;2009;767
0115 Vallentuna;55-59 år;män;2010;805
0115 Vallentuna;55-59 år;män;2011;811
0115 Vallentuna;55-59 år;män;2012;841
0115 Vallentuna;55-59 år;män;2013;868
0115 Vallentuna;55-59 år;män;2014;890
0115 Vallentuna;55-59 år;män;2015;929
0115 Vallentuna;55-59 år;män;2016;977
0115 Vallentuna;55-59 år;män;2017;981
0115 Vallentuna;55-59 år;män;2018;996
0115 Vallentuna;60-64 år;män;2008;804
0115 Vallentuna;60-64 år;män;2009;798
0115 Vallentuna;60-64 år;män;2010;754
0115 Vallentuna;60-64 år;män;2011;755
0115 Vallentuna;60-64 år;män;2012;761
0115 Vallentuna;60-64 år;män;2013;758
0115 Vallentuna;60-64 år;män;2014;739
0115 Vallentuna;60-64 år;män;2015;744
0115 Vallentuna;60-64 år;män;2016;756
0115 Vallentuna;60-64 år;män;2017;811
0115 Vallentuna;60-64 år;män;2018;845
0115 Vallentuna;65-69 år;män;2008;694
0115 Vallentuna;65-69 år;män;2009;724
0115 Vallentuna;65-69 år;män;2010;793
0115 Vallentuna;65-69 år;män;2011;782
0115 Vallentuna;65-69 år;män;2012;770
0115 Vallentuna;65-69 år;män;2013;741
0115 Vallentuna;65-69 år;män;2014;729
0115 Vallentuna;65-69 år;män;2015;694
0115 Vallentuna;65-69 år;män;2016;691
0115 Vallentuna;65-69 år;män;2017;687
0115 Vallentuna;65-69 år;män;2018;675
0115 Vallentuna;70-74 år;män;2008;426
0115 Vallentuna;70-74 år;män;2009;460
0115 Vallentuna;70-74 år;män;2010;493
0115 Vallentuna;70-74 år;män;2011;558
0115 Vallentuna;70-74 år;män;2012;602
0115 Vallentuna;70-74 år;män;2013;651
0115 Vallentuna;70-74 år;män;2014;689
0115 Vallentuna;70-74 år;män;2015;719
0115 Vallentuna;70-74 år;män;2016;690
0115 Vallentuna;70-74 år;män;2017;688
0115 Vallentuna;70-74 år;män;2018;666
0115 Vallentuna;75-79 år;män;2008;311
0115 Vallentuna;75-79 år;män;2009;324
0115 Vallentuna;75-79 år;män;2010;345
0115 Vallentuna;75-79 år;män;2011;329
0115 Vallentuna;75-79 år;män;2012;352
0115 Vallentuna;75-79 år;män;2013;374
0115 Vallentuna;75-79 år;män;2014;414
0115 Vallentuna;75-79 år;män;2015;449
0115 Vallentuna;75-79 år;män;2016;513
0115 Vallentuna;75-79 år;män;2017;536
0115 Vallentuna;75-79 år;män;2018;569
0115 Vallentuna;80-84 år;män;2008;168
0115 Vallentuna;80-84 år;män;2009;166
0115 Vallentuna;80-84 år;män;2010;175
0115 Vallentuna;80-84 år;män;2011;197
0115 Vallentuna;80-84 år;män;2012;213
0115 Vallentuna;80-84 år;män;2013;237
0115 Vallentuna;80-84 år;män;2014;245
0115 Vallentuna;80-84 år;män;2015;250
0115 Vallentuna;80-84 år;män;2016;261
0115 Vallentuna;80-84 år;män;2017;282
0115 Vallentuna;80-84 år;män;2018;302
0115 Vallentuna;85-89 år;män;2008;94
0115 Vallentuna;85-89 år;män;2009;98
0115 Vallentuna;85-89 år;män;2010;83
0115 Vallentuna;85-89 år;män;2011;94
0115 Vallentuna;85-89 år;män;2012;102
0115 Vallentuna;85-89 år;män;2013;100
0115 Vallentuna;85-89 år;män;2014;106
0115 Vallentuna;85-89 år;män;2015;113
0115 Vallentuna;85-89 år;män;2016;131
0115 Vallentuna;85-89 år;män;2017;128
0115 Vallentuna;85-89 år;män;2018;142
0115 Vallentuna;90-94 år;män;2008;33
0115 Vallentuna;90-94 år;män;2009;34
0115 Vallentuna;90-94 år;män;2010;39
0115 Vallentuna;90-94 år;män;2011;37
0115 Vallentuna;90-94 år;män;2012;42
0115 Vallentuna;90-94 år;män;2013;38
0115 Vallentuna;90-94 år;män;2014;39
0115 Vallentuna;90-94 år;män;2015;37
0115 Vallentuna;90-94 år;män;2016;45
0115 Vallentuna;90-94 år;män;2017;51
0115 Vallentuna;90-94 år;män;2018;42
0115 Vallentuna;95-99 år;män;2008;8
0115 Vallentuna;95-99 år;män;2009;4
0115 Vallentuna;95-99 år;män;2010;5
0115 Vallentuna;95-99 år;män;2011;7
0115 Vallentuna;95-99 år;män;2012;5
0115 Vallentuna;95-99 år;män;2013;4
0115 Vallentuna;95-99 år;män;2014;6
