region;ålder;år;Folkmängd
0114 Upplands Väsby;totalt ålder;2008;38248
0114 Upplands Väsby;totalt ålder;2009;38641
0114 Upplands Väsby;totalt ålder;2010;39289
0114 Upplands Väsby;totalt ålder;2011;40194
0114 Upplands Väsby;totalt ålder;2012;40723
0114 Upplands Väsby;totalt ålder;2013;41449
0114 Upplands Väsby;totalt ålder;2014;41816
0114 Upplands Väsby;totalt ålder;2015;42661
0114 Upplands Väsby;totalt ålder;2016;43891
0114 Upplands Väsby;totalt ålder;2017;44605
0114 Upplands Väsby;totalt ålder;2018;45543
0115 Vallentuna;totalt ålder;2008;28954
0115 Vallentuna;totalt ålder;2009;29361
0115 Vallentuna;totalt ålder;2010;30114
0115 Vallentuna;totalt ålder;2011;30715
0115 Vallentuna;totalt ålder;2012;31215
0115 Vallentuna;totalt ålder;2013;31616
0115 Vallentuna;totalt ålder;2014;31969
0115 Vallentuna;totalt ålder;2015;32380
0115 Vallentuna;totalt ålder;2016;32785
0115 Vallentuna;totalt ålder;2017;33175
0115 Vallentuna;totalt ålder;2018;33432
0117 Österåker;totalt ålder;2008;38720
0117 Österåker;totalt ålder;2009;39173
0117 Österåker;totalt ålder;2010;39521
0117 Österåker;totalt ålder;2011;39792
0117 Österåker;totalt ålder;2012;40269
0117 Österåker;totalt ålder;2013;40495
0117 Österåker;totalt ålder;2014;41180
0117 Österåker;totalt ålder;2015;42130
0117 Österåker;totalt ålder;2016;43293
0117 Österåker;totalt ålder;2017;44130
0117 Österåker;totalt ålder;2018;44831
0120 Värmdö;totalt ålder;2008;37376
0120 Värmdö;totalt ålder;2009;37756
0120 Värmdö;totalt ålder;2010;38301
0120 Värmdö;totalt ålder;2011;38894
0120 Värmdö;totalt ålder;2012;39387
0120 Värmdö;totalt ålder;2013;39784
0120 Värmdö;totalt ålder;2014;40541
0120 Värmdö;totalt ålder;2015;41107
0120 Värmdö;totalt ålder;2016;42000
0120 Värmdö;totalt ålder;2017;43444
0120 Värmdö;totalt ålder;2018;44397
0123 Järfälla;totalt ålder;2008;64355
0123 Järfälla;totalt ålder;2009;65295
0123 Järfälla;totalt ålder;2010;66211
0123 Järfälla;totalt ålder;2011;67320
0123 Järfälla;totalt ålder;2012;68210
0123 Järfälla;totalt ålder;2013;69167
0123 Järfälla;totalt ålder;2014;70701
0123 Järfälla;totalt ålder;2015;72429
0123 Järfälla;totalt ålder;2016;74412
0123 Järfälla;totalt ålder;2017;76453
0123 Järfälla;totalt ålder;2018;78480
0125 Ekerö;totalt ålder;2008;24779
0125 Ekerö;totalt ålder;2009;25095
0125 Ekerö;totalt ålder;2010;25410
0125 Ekerö;totalt ålder;2011;25767
0125 Ekerö;totalt ålder;2012;26160
0125 Ekerö;totalt ålder;2013;26355
0125 Ekerö;totalt ålder;2014;26698
0125 Ekerö;totalt ålder;2015;26984
0125 Ekerö;totalt ålder;2016;27406
0125 Ekerö;totalt ålder;2017;27753
0125 Ekerö;totalt ålder;2018;28308
0126 Huddinge;totalt ålder;2008;94209
0126 Huddinge;totalt ålder;2009;95798
0126 Huddinge;totalt ålder;2010;97453
0126 Huddinge;totalt ålder;2011;99049
0126 Huddinge;totalt ålder;2012;101010
0126 Huddinge;totalt ålder;2013;102557
