region;ålder;kön;år;Folkmängd
01 Stockholms län;55-59 år;män;2008;56072
01 Stockholms län;55-59 år;män;2009;56124
01 Stockholms län;55-59 år;män;2010;56343
01 Stockholms län;55-59 år;män;2011;57862
01 Stockholms län;55-59 år;män;2012;58988
01 Stockholms län;55-59 år;män;2013;60211
01 Stockholms län;55-59 år;män;2014;61494
01 Stockholms län;55-59 år;män;2015;62638
01 Stockholms län;55-59 år;män;2016;63695
01 Stockholms län;55-59 år;män;2017;65021
01 Stockholms län;55-59 år;män;2018;67300
01 Stockholms län;55-59 år;kvinnor;2008;57241
01 Stockholms län;55-59 år;kvinnor;2009;56392
01 Stockholms län;55-59 år;kvinnor;2010;56433
01 Stockholms län;55-59 år;kvinnor;2011;57241
01 Stockholms län;55-59 år;kvinnor;2012;58212
01 Stockholms län;55-59 år;kvinnor;2013;59277
01 Stockholms län;55-59 år;kvinnor;2014;60464
01 Stockholms län;55-59 år;kvinnor;2015;61511
01 Stockholms län;55-59 år;kvinnor;2016;62599
01 Stockholms län;55-59 år;kvinnor;2017;64243
01 Stockholms län;55-59 år;kvinnor;2018;66339
01 Stockholms län;60-64 år;män;2008;59350
01 Stockholms län;60-64 år;män;2009;58088
01 Stockholms län;60-64 år;män;2010;56663
01 Stockholms län;60-64 år;män;2011;55067
01 Stockholms län;60-64 år;män;2012;54082
01 Stockholms län;60-64 år;män;2013;53640
01 Stockholms län;60-64 år;män;2014;53768
01 Stockholms län;60-64 år;män;2015;54057
01 Stockholms län;60-64 år;män;2016;55673
01 Stockholms län;60-64 år;män;2017;56848
01 Stockholms län;60-64 år;män;2018;57779
01 Stockholms län;60-64 år;kvinnor;2008;62690
01 Stockholms län;60-64 år;kvinnor;2009;61856
01 Stockholms län;60-64 år;kvinnor;2010;60330
01 Stockholms län;60-64 år;kvinnor;2011;58524
01 Stockholms län;60-64 år;kvinnor;2012;56945
01 Stockholms län;60-64 år;kvinnor;2013;55696
01 Stockholms län;60-64 år;kvinnor;2014;54961
01 Stockholms län;60-64 år;kvinnor;2015;55066
01 Stockholms län;60-64 år;kvinnor;2016;55883
01 Stockholms län;60-64 år;kvinnor;2017;56754
01 Stockholms län;60-64 år;kvinnor;2018;57628
01 Stockholms län;65-69 år;män;2008;43625
01 Stockholms län;65-69 år;män;2009;47269
01 Stockholms län;65-69 år;män;2010;50748
01 Stockholms län;65-69 år;män;2011;53387
01 Stockholms län;65-69 år;män;2012;54780
01 Stockholms län;65-69 år;män;2013;54833
01 Stockholms län;65-69 år;män;2014;53769
01 Stockholms län;65-69 år;män;2015;52588
01 Stockholms län;65-69 år;män;2016;51058
01 Stockholms län;65-69 år;män;2017;50179
01 Stockholms län;65-69 år;män;2018;49741
01 Stockholms län;65-69 år;kvinnor;2008;45770
01 Stockholms län;65-69 år;kvinnor;2009;49805
01 Stockholms län;65-69 år;kvinnor;2010;53816
01 Stockholms län;65-69 år;kvinnor;2011;57021
01 Stockholms län;65-69 år;kvinnor;2012;58866
01 Stockholms län;65-69 år;kvinnor;2013;59601
01 Stockholms län;65-69 år;kvinnor;2014;58821
01 Stockholms län;65-69 år;kvinnor;2015;57394
01 Stockholms län;65-69 år;kvinnor;2016;55669
01 Stockholms län;65-69 år;kvinnor;2017;54090
01 Stockholms län;65-69 år;kvinnor;2018;53008
01 Stockholms län;70-74 år;män;2008;28691
01 Stockholms län;70-74 år;män;2009;30392
01 Stockholms län;70-74 år;män;2010;31819
