"region","år","arbetsställets sektortillhörighet","ålder",Förvärvsarbetande 16+ år med bostad i regionen (nattbefolkning) (RAMS)
"0114 Upplands Väsby","2008","primärkommunal förvaltning","55-59 år",351
"0114 Upplands Väsby","2008","primärkommunal förvaltning","60-64 år",293
"0114 Upplands Väsby","2008","primärkommunal förvaltning","65+ år",97
"0114 Upplands Väsby","2008","kommunalt ägda företag och organisationer","55-59 år",49
"0114 Upplands Väsby","2008","kommunalt ägda företag och organisationer","60-64 år",48
"0114 Upplands Väsby","2008","kommunalt ägda företag och organisationer","65+ år",6
"0114 Upplands Väsby","2009","primärkommunal förvaltning","55-59 år",307
"0114 Upplands Väsby","2009","primärkommunal förvaltning","60-64 år",289
"0114 Upplands Väsby","2009","primärkommunal förvaltning","65+ år",102
"0114 Upplands Väsby","2009","kommunalt ägda företag och organisationer","55-59 år",47
"0114 Upplands Väsby","2009","kommunalt ägda företag och organisationer","60-64 år",45
"0114 Upplands Väsby","2009","kommunalt ägda företag och organisationer","65+ år",10
"0114 Upplands Väsby","2010","primärkommunal förvaltning","55-59 år",301
"0114 Upplands Väsby","2010","primärkommunal förvaltning","60-64 år",285
"0114 Upplands Väsby","2010","primärkommunal förvaltning","65+ år",100
"0114 Upplands Väsby","2010","kommunalt ägda företag och organisationer","55-59 år",56
"0114 Upplands Väsby","2010","kommunalt ägda företag och organisationer","60-64 år",46
"0114 Upplands Väsby","2010","kommunalt ägda företag och organisationer","65+ år",8
"0114 Upplands Väsby","2011","primärkommunal förvaltning","55-59 år",280
"0114 Upplands Väsby","2011","primärkommunal förvaltning","60-64 år",307
"0114 Upplands Väsby","2011","primärkommunal förvaltning","65+ år",80
"0114 Upplands Väsby","2011","kommunalt ägda företag och organisationer","55-59 år",59
"0114 Upplands Väsby","2011","kommunalt ägda företag och organisationer","60-64 år",37
"0114 Upplands Väsby","2011","kommunalt ägda företag och organisationer","65+ år",10
"0114 Upplands Väsby","2012","primärkommunal förvaltning","55-59 år",284
"0114 Upplands Väsby","2012","primärkommunal förvaltning","60-64 år",287
"0114 Upplands Väsby","2012","primärkommunal förvaltning","65+ år",89
"0114 Upplands Väsby","2012","kommunalt ägda företag och organisationer","55-59 år",53
"0114 Upplands Väsby","2012","kommunalt ägda företag och organisationer","60-64 år",32
"0114 Upplands Väsby","2012","kommunalt ägda företag och organisationer","65+ år",8
"0114 Upplands Väsby","2013","primärkommunal förvaltning","55-59 år",271
"0114 Upplands Väsby","2013","primärkommunal förvaltning","60-64 år",268
"0114 Upplands Väsby","2013","primärkommunal förvaltning","65+ år",95
